number,value,datetime_start,datetime_complete,duration,params_BEAR_GRID_MAX_LAYER_CAP,params_BEAR_GRID_MODE,params_BEAR_RATIO,params_BEAR_UNIVERSE_MODE,params_BULL_RATIO,params_GRID_MAX_LAYER,params_GRID_STEP_MAX,params_GRID_STEP_MIN,params_GRID_STEP_VOL_FACTOR,params_LAYER_FRACTION,params_MAX_HOLD,params_NEUTRAL_RATIO,params_REBALANCE_FREQ,params_VOL_WEIGHT,user_attrs_avg_test_score,user_attrs_avg_train_score,user_attrs_test_score_std,user_attrs_train_test_gap,user_attrs_validation_error,state
187,0.24099282078735773,2026-05-10 13:43:55.001576,2026-05-10 13:44:37.113484,0 days 00:00:42.111908,0,CAP_LAYER,0.45,SAME,0.9,2,0.05,0.01,0.6,0.08,10,0.5,10,0.65,,,,,,PRUNED
188,0.19597623320690136,2026-05-10 13:44:37.136315,2026-05-10 13:48:10.509044,0 days 00:03:33.372729,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.6,0.08,10,0.5,5,0.65,,,,,,PRUNED
189,-0.35800707382383007,2026-05-10 13:48:10.556042,2026-05-10 13:49:23.771934,0 days 00:01:13.215892,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.01,0.3,0.08,10,0.5,10,0.65,-0.01669407423547967,0.14637210748345536,0.6826259991767007,0.16306618171893503,,COMPLETE
190,-0.35800707382383007,2026-05-10 13:49:23.796142,2026-05-10 13:49:24.337365,0 days 00:00:00.541223,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.01,0.3,0.08,10,0.5,10,0.65,-0.01669407423547967,0.14637210748345536,0.6826259991767007,0.16306618171893503,,COMPLETE
191,0.1282130196933809,2026-05-10 13:49:24.361039,2026-05-10 13:49:55.148681,0 days 00:00:30.787642,0,CAP_LAYER,0.45,ETF_DEFENSIVE,0.7,2,0.05,0.01,0.3,0.08,10,0.5,10,0.65,,,,,,PRUNED
192,-0.38638585200226694,2026-05-10 13:49:55.174681,2026-05-10 13:50:25.042407,0 days 00:00:29.867726,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.08,5,0.6,20,0.65,,,,,,PRUNED
193,0.10261363386547848,2026-05-10 13:50:25.066363,2026-05-10 13:51:01.129623,0 days 00:00:36.063260,0,NORMAL,0.45,ETF_DEFENSIVE,0.7,2,0.05,0.02,0.45,0.08,10,0.6,10,0.65,,,,,,PRUNED
194,0.1473885824146908,2026-05-10 13:51:01.152710,2026-05-10 13:51:33.615561,0 days 00:00:32.462851,0,CAP_LAYER,0.45,SAME,0.7,3,0.05,0.01,0.3,0.08,10,0.5,20,0.65,,,,,,PRUNED
195,0.17617730946895205,2026-05-10 13:51:33.641133,2026-05-10 13:52:27.798913,0 days 00:00:54.157780,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.3,0.08,8,0.5,10,0.65,,,,,,PRUNED
196,-0.36701255126359966,2026-05-10 13:52:27.820202,2026-05-10 13:54:50.554479,0 days 00:02:22.734277,0,CAP_LAYER,0.35,SAME,0.7,2,0.05,0.01,0.3,0.08,10,0.5,10,0.65,-0.026972074291194494,0.1351889914276648,0.6800809539448104,0.1621610657188593,,COMPLETE
197,-0.3766993390699895,2026-05-10 13:54:50.576889,2026-05-10 13:56:32.320343,0 days 00:01:41.743454,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.01,0.3,0.08,10,0.5,10,0.5,-0.035106880734330125,0.15595967218575904,0.6831849166713188,0.19106655292008917,,COMPLETE
198,-0.07298418230323883,2026-05-10 13:56:32.345160,2026-05-10 13:57:19.670239,0 days 00:00:47.325079,0,CAP_LAYER,0.45,SAME,0.7,4,0.05,0.01,0.3,0.08,5,0.5,10,0.65,,,,,,PRUNED
199,0.21876590660141193,2026-05-10 13:57:19.693751,2026-05-10 13:58:02.657390,0 days 00:00:42.963639,2,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.01,0.3,0.16,10,0.5,10,0.65,,,,,,PRUNED
200,-0.361992100497066,2026-05-10 13:58:02.681648,2026-05-10 13:59:16.839625,0 days 00:01:14.157977,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.3,0.08,10,0.5,10,0.65,-0.022469269543597768,0.15015843888996663,0.6790456619069364,0.1726277084335644,,COMPLETE
201,0.21418003015607567,2026-05-10 13:59:16.862382,2026-05-10 13:59:58.735852,0 days 00:00:41.873470,0,NORMAL,0.45,SAME,0.7,4,0.05,0.02,0.45,0.08,10,0.6,10,0.65,,,,,,PRUNED
202,0.25678557568770344,2026-05-10 13:59:58.757544,2026-05-10 14:00:45.494570,0 days 00:00:46.737026,0,CAP_LAYER,0.45,SAME,0.7,3,0.05,0.02,0.6,0.08,10,0.6,10,0.65,,,,,,PRUNED
203,0.06634702896432187,2026-05-10 14:00:45.519082,2026-05-10 14:01:53.500715,0 days 00:01:07.981633,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.6,0.08,15,0.5,10,0.65,,,,,,PRUNED
204,-0.361992100497066,2026-05-10 14:01:53.526874,2026-05-10 14:01:54.041374,0 days 00:00:00.514500,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.3,0.08,10,0.5,10,0.65,-0.022469269543597768,0.15015843888996663,0.6790456619069364,0.1726277084335644,,COMPLETE
205,-0.04731685954735795,2026-05-10 14:01:54.067453,2026-05-10 14:02:33.319816,0 days 00:00:39.252363,0,NORMAL,0.45,SAME,0.7,2,0.05,0.02,0.45,0.08,5,0.6,10,0.65,,,,,,PRUNED
206,0.23541875718530503,2026-05-10 14:02:33.339432,2026-05-10 14:03:35.177894,0 days 00:01:01.838462,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.3,0.16,10,0.5,10,0.5,,,,,,PRUNED
207,-0.05160940705629205,2026-05-10 14:03:35.199958,2026-05-10 14:04:15.340771,0 days 00:00:40.140813,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.01,0.6,0.08,5,0.5,10,0.65,,,,,,PRUNED
208,-0.361992100497066,2026-05-10 14:04:15.363716,2026-05-10 14:04:15.942167,0 days 00:00:00.578451,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.3,0.08,10,0.5,10,0.65,-0.022469269543597768,0.15015843888996663,0.6790456619069364,0.1726277084335644,,COMPLETE
209,-0.361992100497066,2026-05-10 14:04:15.966736,2026-05-10 14:04:16.529883,0 days 00:00:00.563147,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.3,0.08,10,0.5,10,0.65,-0.022469269543597768,0.15015843888996663,0.6790456619069364,0.1726277084335644,,COMPLETE
210,-0.361992100497066,2026-05-10 14:04:16.570422,2026-05-10 14:04:17.102700,0 days 00:00:00.532278,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.3,0.08,10,0.5,10,0.65,-0.022469269543597768,0.15015843888996663,0.6790456619069364,0.1726277084335644,,COMPLETE
211,-0.361992100497066,2026-05-10 14:04:17.125550,2026-05-10 14:04:17.662033,0 days 00:00:00.536483,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.3,0.08,10,0.5,10,0.65,-0.022469269543597768,0.15015843888996663,0.6790456619069364,0.1726277084335644,,COMPLETE
212,-0.361992100497066,2026-05-10 14:04:17.687701,2026-05-10 14:04:18.268505,0 days 00:00:00.580804,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.3,0.08,10,0.5,10,0.65,-0.022469269543597768,0.15015843888996663,0.6790456619069364,0.1726277084335644,,COMPLETE
213,-0.361992100497066,2026-05-10 14:04:18.292052,2026-05-10 14:04:18.842860,0 days 00:00:00.550808,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.3,0.08,10,0.5,10,0.65,-0.022469269543597768,0.15015843888996663,0.6790456619069364,0.1726277084335644,,COMPLETE
214,-0.361992100497066,2026-05-10 14:04:18.867618,2026-05-10 14:04:19.388930,0 days 00:00:00.521312,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.3,0.08,10,0.5,10,0.65,-0.022469269543597768,0.15015843888996663,0.6790456619069364,0.1726277084335644,,COMPLETE
215,-0.13785187377248057,2026-05-10 14:04:19.412979,2026-05-10 14:05:17.081640,0 days 00:00:57.668661,0,CAP_LAYER,0.45,SAME,0.8,2,0.03,0.02,0.3,0.12,10,0.5,10,0.8,,,,,,PRUNED
216,-0.09632940173953702,2026-05-10 14:05:17.104503,2026-05-10 14:05:49.327265,0 days 00:00:32.222762,0,CAP_LAYER,0.45,ETF_DEFENSIVE,0.7,2,0.03,0.02,0.3,0.08,10,0.5,10,0.8,,,,,,PRUNED
217,0.05700812839879574,2026-05-10 14:05:49.365240,2026-05-10 14:06:55.957700,0 days 00:01:06.592460,0,NO_NET_ADD,0.45,SAME,0.7,2,0.03,0.01,0.45,0.08,12,0.5,10,0.65,,,,,,PRUNED
218,-0.35800707382383007,2026-05-10 14:06:55.981058,2026-05-10 14:09:40.851082,0 days 00:02:44.870024,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.01,0.45,0.08,10,0.5,10,0.65,-0.01669407423547967,0.14637210748345536,0.6826259991767007,0.16306618171893503,,COMPLETE
219,-0.35800707382383007,2026-05-10 14:09:40.873398,2026-05-10 14:09:41.407860,0 days 00:00:00.534462,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.01,0.45,0.08,10,0.5,10,0.65,-0.01669407423547967,0.14637210748345536,0.6826259991767007,0.16306618171893503,,COMPLETE
220,0.2571675398847557,2026-05-10 14:09:41.435249,2026-05-10 14:10:23.096023,0 days 00:00:41.660774,2,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.01,0.45,0.08,10,0.5,10,0.65,,,,,,PRUNED
221,-0.35800707382383007,2026-05-10 14:10:23.121822,2026-05-10 14:10:23.651482,0 days 00:00:00.529660,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.01,0.45,0.08,10,0.5,10,0.65,-0.01669407423547967,0.14637210748345536,0.6826259991767007,0.16306618171893503,,COMPLETE
222,-9999.0,2026-05-10 14:10:23.675445,2026-05-10 14:10:23.969590,0 days 00:00:00.294145,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.01,0.45,0.08,10,0.7,10,0.65,,,,,BEAR_RATIO < NEUTRAL_RATIO < BULL_RATIO 约束违反: 0.45 / 0.7 / 0.7,COMPLETE
223,-0.13516808827729748,2026-05-10 14:10:23.991988,2026-05-10 14:11:06.267778,0 days 00:00:42.275790,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.01,0.45,0.08,10,0.5,10,0.8,,,,,,PRUNED
224,-0.3608547404377824,2026-05-10 14:11:06.293171,2026-05-10 14:12:24.431584,0 days 00:01:18.138413,0,NORMAL,0.45,SAME,0.7,2,0.05,0.02,0.3,0.08,10,0.6,10,0.65,-0.012414286142969053,0.15193996957440134,0.6968809085896266,0.1643542557173704,,COMPLETE
225,-0.3608547404377824,2026-05-10 14:12:24.457335,2026-05-10 14:12:24.975768,0 days 00:00:00.518433,0,NORMAL,0.45,SAME,0.7,2,0.05,0.02,0.3,0.08,10,0.6,10,0.65,-0.012414286142969053,0.15193996957440134,0.6968809085896266,0.1643542557173704,,COMPLETE
226,0.25129852357517235,2026-05-10 14:12:24.998809,2026-05-10 14:13:06.718893,0 days 00:00:41.720084,0,NORMAL,0.25,SAME,0.7,3,0.05,0.02,0.3,0.08,10,0.6,10,0.65,,,,,,PRUNED
227,-0.3608547404377824,2026-05-10 14:13:06.742911,2026-05-10 14:13:07.315529,0 days 00:00:00.572618,0,NORMAL,0.45,SAME,0.7,2,0.05,0.02,0.3,0.08,10,0.6,10,0.65,-0.012414286142969053,0.15193996957440134,0.6968809085896266,0.1643542557173704,,COMPLETE
228,-0.3608547404377824,2026-05-10 14:13:07.338738,2026-05-10 14:13:07.875800,0 days 00:00:00.537062,0,NORMAL,0.45,SAME,0.7,2,0.05,0.02,0.3,0.08,10,0.6,10,0.65,-0.012414286142969053,0.15193996957440134,0.6968809085896266,0.1643542557173704,,COMPLETE
229,-0.3608547404377824,2026-05-10 14:13:07.916173,2026-05-10 14:13:08.457048,0 days 00:00:00.540875,0,NORMAL,0.45,SAME,0.7,2,0.05,0.02,0.3,0.08,10,0.6,10,0.65,-0.012414286142969053,0.15193996957440134,0.6968809085896266,0.1643542557173704,,COMPLETE
230,-0.3608547404377824,2026-05-10 14:13:08.498501,2026-05-10 14:13:09.043859,0 days 00:00:00.545358,0,NORMAL,0.45,SAME,0.7,2,0.05,0.02,0.3,0.08,10,0.6,10,0.65,-0.012414286142969053,0.15193996957440134,0.6968809085896266,0.1643542557173704,,COMPLETE
231,-0.3608547404377824,2026-05-10 14:13:09.068581,2026-05-10 14:13:09.616131,0 days 00:00:00.547550,0,NORMAL,0.45,SAME,0.7,2,0.05,0.02,0.3,0.08,10,0.6,10,0.65,-0.012414286142969053,0.15193996957440134,0.6968809085896266,0.1643542557173704,,COMPLETE
232,-0.3608547404377824,2026-05-10 14:13:09.638707,2026-05-10 14:13:10.188586,0 days 00:00:00.549879,0,NORMAL,0.45,SAME,0.7,2,0.05,0.02,0.3,0.08,10,0.6,10,0.65,-0.012414286142969053,0.15193996957440134,0.6968809085896266,0.1643542557173704,,COMPLETE
233,-0.3608547404377824,2026-05-10 14:13:10.212402,2026-05-10 14:13:10.760038,0 days 00:00:00.547636,0,NORMAL,0.45,SAME,0.7,2,0.05,0.02,0.3,0.08,10,0.6,10,0.65,-0.012414286142969053,0.15193996957440134,0.6968809085896266,0.1643542557173704,,COMPLETE
234,-0.3608547404377824,2026-05-10 14:13:10.802677,2026-05-10 14:13:11.365732,0 days 00:00:00.563055,0,NORMAL,0.45,SAME,0.7,2,0.05,0.02,0.3,0.08,10,0.6,10,0.65,-0.012414286142969053,0.15193996957440134,0.6968809085896266,0.1643542557173704,,COMPLETE
235,-0.3608547404377824,2026-05-10 14:13:11.390177,2026-05-10 14:14:25.591786,0 days 00:01:14.201609,0,NORMAL,0.45,SAME,0.7,2,0.05,0.01,0.3,0.08,10,0.6,10,0.65,-0.012414286142969053,0.15193996957440134,0.6968809085896266,0.1643542557173704,,COMPLETE
236,0.04230211298123951,2026-05-10 14:14:25.636316,2026-05-10 14:15:37.373823,0 days 00:01:11.737507,0,NORMAL,0.45,SAME,0.7,2,0.05,0.02,0.3,0.16,15,0.6,10,0.65,,,,,,PRUNED
237,0.2452144786141377,2026-05-10 14:15:37.414935,2026-05-10 14:16:18.936936,0 days 00:00:41.522001,0,NORMAL,0.35,SAME,0.7,2,0.05,0.02,0.3,0.08,10,0.6,10,0.65,,,,,,PRUNED
238,-0.3608547404377824,2026-05-10 14:16:18.959217,2026-05-10 14:17:33.742508,0 days 00:01:14.783291,2,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.3,0.08,10,0.6,10,0.65,-0.012414286142969053,0.15193996957440134,0.6968809085896266,0.1643542557173704,,COMPLETE
239,0.24426811426090314,2026-05-10 14:17:33.768078,2026-05-10 14:18:17.247377,0 days 00:00:43.479299,0,NORMAL,0.45,SAME,0.9,2,0.05,0.02,0.3,0.08,10,0.6,10,0.65,,,,,,PRUNED
240,-0.12025571693934656,2026-05-10 14:18:17.270397,2026-05-10 14:19:02.637071,0 days 00:00:45.366674,0,NORMAL,0.45,SAME,0.7,2,0.05,0.02,0.3,0.08,10,0.6,10,0.8,,,,,,PRUNED
241,-0.3608547404377824,2026-05-10 14:19:02.663182,2026-05-10 14:19:03.176866,0 days 00:00:00.513684,0,NORMAL,0.45,SAME,0.7,2,0.05,0.01,0.3,0.08,10,0.6,10,0.65,-0.012414286142969053,0.15193996957440134,0.6968809085896266,0.1643542557173704,,COMPLETE
242,0.21498763673223978,2026-05-10 14:19:03.200981,2026-05-10 14:22:43.080582,0 days 00:03:39.879601,0,NORMAL,0.45,SAME,0.7,2,0.05,0.02,0.3,0.08,10,0.6,5,0.65,,,,,,PRUNED
243,0.18905044305217472,2026-05-10 14:22:43.103756,2026-05-10 14:23:42.529859,0 days 00:00:59.426103,0,NORMAL,0.45,SAME,0.7,2,0.05,0.02,0.3,0.08,8,0.5,10,0.65,,,,,,PRUNED
244,-0.4147002281860438,2026-05-10 14:23:42.553393,2026-05-10 14:24:13.256321,0 days 00:00:30.702928,0,NORMAL,0.45,SAME,0.8,2,0.05,0.02,0.3,0.08,5,0.6,20,0.65,,,,,,PRUNED
245,-0.05635540870873648,2026-05-10 14:24:13.294556,2026-05-10 14:25:33.025233,0 days 00:01:19.730677,0,NO_NET_ADD,0.45,SAME,0.7,2,0.05,0.01,0.45,0.08,10,0.5,5,0.65,,,,,,PRUNED
246,0.24473722370320453,2026-05-10 14:25:33.047751,2026-05-10 14:26:35.159701,0 days 00:01:02.111950,1,CAP_LAYER,0.35,SAME,0.7,2,0.03,0.01,0.6,0.08,12,0.5,10,0.65,,,,,,PRUNED
247,0.10503251812204817,2026-05-10 14:26:35.181085,2026-05-10 14:27:31.168070,0 days 00:00:55.986985,0,NO_NET_ADD,0.45,SAME,0.7,2,0.05,0.01,0.3,0.08,10,0.5,10,0.65,,,,,,PRUNED
248,0.06474569588238988,2026-05-10 14:27:31.191378,2026-05-10 14:28:40.297255,0 days 00:01:09.105877,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.01,0.45,0.08,15,0.5,10,0.65,,,,,,PRUNED
249,0.24673226871686765,2026-05-10 14:28:40.320648,2026-05-10 14:29:22.912273,0 days 00:00:42.591625,0,CAP_LAYER,0.45,SAME,0.8,2,0.05,0.01,0.3,0.12,10,0.5,10,0.65,,,,,,PRUNED
250,-0.3608547404377824,2026-05-10 14:29:22.933477,2026-05-10 14:31:46.831622,0 days 00:02:23.898145,1,NORMAL,0.45,SAME,0.7,2,0.05,0.02,0.3,0.08,10,0.6,10,0.65,-0.012414286142969053,0.15193996957440134,0.6968809085896266,0.1643542557173704,,COMPLETE
251,0.21098514623734937,2026-05-10 14:31:46.854121,2026-05-10 14:32:35.853045,0 days 00:00:48.998924,0,NORMAL,0.45,SAME,0.7,2,0.05,0.02,0.3,0.12,10,0.5,10,0.65,,,,,,PRUNED
252,-0.405953242268173,2026-05-10 14:32:35.876658,2026-05-10 14:33:51.573043,0 days 00:01:15.696385,0,CAP_LAYER,0.25,SAME,0.7,2,0.05,0.01,0.45,0.08,10,0.5,10,0.65,-0.05890344739246849,0.14075167720368525,0.694099589751409,0.19965512459615375,,COMPLETE
253,-0.3608547404377824,2026-05-10 14:33:51.598396,2026-05-10 14:33:52.165843,0 days 00:00:00.567447,0,NORMAL,0.45,SAME,0.7,2,0.05,0.02,0.3,0.08,10,0.6,10,0.65,-0.012414286142969053,0.15193996957440134,0.6968809085896266,0.1643542557173704,,COMPLETE
254,0.246274239760371,2026-05-10 14:33:52.187082,2026-05-10 14:34:37.237619,0 days 00:00:45.050537,0,CAP_LAYER,0.45,SAME,0.7,4,0.05,0.01,0.45,0.08,10,0.5,10,0.65,,,,,,PRUNED
255,-0.051562401316616324,2026-05-10 14:34:37.260210,2026-05-10 14:35:26.802003,0 days 00:00:49.541793,0,NO_NET_ADD,0.45,SAME,0.7,2,0.05,0.02,0.3,0.08,5,0.6,10,0.65,,,,,,PRUNED
256,0.25708454010904275,2026-05-10 14:35:26.825964,2026-05-10 14:36:11.015180,0 days 00:00:44.189216,1,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.01,0.3,0.08,10,0.5,10,0.65,,,,,,PRUNED
257,-0.1523693398720102,2026-05-10 14:36:11.038005,2026-05-10 14:37:09.372818,0 days 00:00:58.334813,2,NORMAL,0.25,SAME,0.7,2,0.05,0.02,0.45,0.08,10,0.6,10,0.8,,,,,,PRUNED
258,0.0918147901874326,2026-05-10 14:37:09.396377,2026-05-10 14:38:25.642815,0 days 00:01:16.246438,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.08,15,0.6,10,0.65,,,,,,PRUNED
259,0.23139798348200466,2026-05-10 14:38:25.664928,2026-05-10 14:39:09.888859,0 days 00:00:44.223931,0,NORMAL,0.45,SAME,0.8,2,0.05,0.02,0.3,0.08,10,0.5,10,0.65,,,,,,PRUNED
260,0.2533114817908691,2026-05-10 14:39:09.911273,2026-05-10 14:39:52.583804,0 days 00:00:42.672531,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.01,0.45,0.16,10,0.5,10,0.65,,,,,,PRUNED
261,0.1626559126996851,2026-05-10 14:39:52.605827,2026-05-10 14:40:36.919765,0 days 00:00:44.313938,0,NORMAL,0.45,SAME,0.7,4,0.05,0.02,0.3,0.16,10,0.6,10,0.65,,,,,,PRUNED
262,0.24161692995759043,2026-05-10 14:40:36.946964,2026-05-10 14:41:24.954817,0 days 00:00:48.007853,0,CAP_LAYER,0.45,SAME,0.8,2,0.05,0.01,0.45,0.08,10,0.5,10,0.65,,,,,,PRUNED
263,-0.3579850815993265,2026-05-10 14:41:24.977513,2026-05-10 14:41:25.547479,0 days 00:00:00.569966,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.45,0.08,12,0.5,10,0.65,-0.025716130904780754,0.14675736245739393,0.6645379013890915,0.17247349336217468,,COMPLETE
264,-0.4028074074724647,2026-05-10 14:41:25.570770,2026-05-10 14:43:58.577918,0 days 00:02:33.007148,0,NORMAL,0.25,SAME,0.7,2,0.05,0.02,0.6,0.08,10,0.6,10,0.65,-0.04994439774401822,0.14332667892150636,0.705726019456893,0.19327107666552457,,COMPLETE
265,-0.3579850815993265,2026-05-10 14:43:58.600825,2026-05-10 14:43:59.154513,0 days 00:00:00.553688,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.45,0.08,12,0.5,10,0.65,-0.025716130904780754,0.14675736245739393,0.6645379013890915,0.17247349336217468,,COMPLETE
266,-0.07054593116408309,2026-05-10 14:43:59.178152,2026-05-10 14:44:48.461283,0 days 00:00:49.283131,0,CAP_LAYER,0.35,SAME,0.7,2,0.03,0.01,0.45,0.08,5,0.5,10,0.65,,,,,,PRUNED
267,0.2295947341695705,2026-05-10 14:44:48.485898,2026-05-10 14:45:57.133501,0 days 00:01:08.647603,2,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.45,0.08,12,0.5,10,0.65,,,,,,PRUNED
268,-0.07270826543590772,2026-05-10 14:45:57.157362,2026-05-10 14:46:38.473645,0 days 00:00:41.316283,0,NORMAL,0.45,SAME,0.7,3,0.05,0.02,0.3,0.08,5,0.6,10,0.65,,,,,,PRUNED
269,0.2571675398847557,2026-05-10 14:46:38.498452,2026-05-10 14:47:21.197622,0 days 00:00:42.699170,0,NORMAL,0.45,SAME,0.7,2,0.05,0.01,0.45,0.08,10,0.5,10,0.65,,,,,,PRUNED
270,0.24243479441647123,2026-05-10 14:47:21.220693,2026-05-10 14:48:06.429063,0 days 00:00:45.208370,2,NORMAL,0.45,SAME,0.7,2,0.05,0.02,0.45,0.08,12,0.6,10,0.65,,,,,,PRUNED
271,-0.3579850815993265,2026-05-10 14:48:06.456170,2026-05-10 14:48:06.998178,0 days 00:00:00.542008,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.45,0.08,12,0.5,10,0.65,-0.025716130904780754,0.14675736245739393,0.6645379013890915,0.17247349336217468,,COMPLETE
272,-0.3587112604940638,2026-05-10 14:48:07.023764,2026-05-10 14:49:28.449348,0 days 00:01:21.425584,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.45,0.08,10,0.6,10,0.65,-0.007785561565759587,0.15456984826456957,0.7018513978566084,0.16235540983032914,,COMPLETE
273,-0.3587112604940638,2026-05-10 14:49:28.471721,2026-05-10 14:49:28.943416,0 days 00:00:00.471695,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.45,0.08,10,0.6,10,0.65,-0.007785561565759587,0.15456984826456957,0.7018513978566084,0.16235540983032914,,COMPLETE
274,0.1322243766909198,2026-05-10 14:49:28.965788,2026-05-10 14:50:26.012297,0 days 00:00:57.046509,0,CAP_LAYER,0.45,SAME,0.9,2,0.03,0.01,0.45,0.08,8,0.5,10,0.65,,,,,,PRUNED
275,-0.13696586386612858,2026-05-10 14:50:26.034912,2026-05-10 14:51:29.976941,0 days 00:01:03.942029,0,CAP_LAYER,0.45,SAME,0.8,2,0.03,0.01,0.45,0.08,12,0.5,10,0.8,,,,,,PRUNED
276,0.16970152769666996,2026-05-10 14:51:30.000276,2026-05-10 14:52:06.803266,0 days 00:00:36.802990,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.01,0.6,0.08,10,0.5,20,0.65,,,,,,PRUNED
277,-0.3587112604940638,2026-05-10 14:52:06.826041,2026-05-10 14:52:07.356824,0 days 00:00:00.530783,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.45,0.08,10,0.6,10,0.65,-0.007785561565759587,0.15456984826456957,0.7018513978566084,0.16235540983032914,,COMPLETE
278,-0.3587112604940638,2026-05-10 14:52:07.380764,2026-05-10 14:52:07.904078,0 days 00:00:00.523314,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.45,0.08,10,0.6,10,0.65,-0.007785561565759587,0.15456984826456957,0.7018513978566084,0.16235540983032914,,COMPLETE
279,-0.3587112604940638,2026-05-10 14:52:07.933513,2026-05-10 14:52:08.513942,0 days 00:00:00.580429,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.45,0.08,10,0.6,10,0.65,-0.007785561565759587,0.15456984826456957,0.7018513978566084,0.16235540983032914,,COMPLETE
280,-0.3587112604940638,2026-05-10 14:52:08.540314,2026-05-10 14:52:09.110395,0 days 00:00:00.570081,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.45,0.08,10,0.6,10,0.65,-0.007785561565759587,0.15456984826456957,0.7018513978566084,0.16235540983032914,,COMPLETE
281,-0.3587112604940638,2026-05-10 14:52:09.134290,2026-05-10 14:52:09.699334,0 days 00:00:00.565044,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.45,0.08,10,0.6,10,0.65,-0.007785561565759587,0.15456984826456957,0.7018513978566084,0.16235540983032914,,COMPLETE
282,-0.3587112604940638,2026-05-10 14:52:09.723389,2026-05-10 14:52:10.274858,0 days 00:00:00.551469,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.45,0.08,10,0.6,10,0.65,-0.007785561565759587,0.15456984826456957,0.7018513978566084,0.16235540983032914,,COMPLETE
283,-0.3587112604940638,2026-05-10 14:52:10.301857,2026-05-10 14:52:10.863192,0 days 00:00:00.561335,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.45,0.08,10,0.6,10,0.65,-0.007785561565759587,0.15456984826456957,0.7018513978566084,0.16235540983032914,,COMPLETE
284,-0.09984876591557235,2026-05-10 14:52:10.888251,2026-05-10 14:56:04.603524,0 days 00:03:53.715273,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.45,0.08,10,0.6,5,0.8,,,,,,PRUNED
285,-0.3587112604940638,2026-05-10 14:56:04.628468,2026-05-10 14:56:05.179573,0 days 00:00:00.551105,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.45,0.08,10,0.6,10,0.65,-0.007785561565759587,0.15456984826456957,0.7018513978566084,0.16235540983032914,,COMPLETE
286,-0.36950129310944024,2026-05-10 14:56:05.202795,2026-05-10 14:58:58.668258,0 days 00:02:53.465463,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.45,0.08,12,0.6,10,0.65,-0.022238277194788054,0.16768886412260414,0.6945260318293044,0.1899271413173922,,COMPLETE
