number,value,datetime_start,datetime_complete,duration,params_BEAR_GRID_MAX_LAYER_CAP,params_BEAR_GRID_MODE,params_BEAR_RATIO,params_BEAR_UNIVERSE_MODE,params_BULL_RATIO,params_GRID_MAX_LAYER,params_GRID_STEP_MAX,params_GRID_STEP_MIN,params_GRID_STEP_VOL_FACTOR,params_LAYER_FRACTION,params_MAX_HOLD,params_NEUTRAL_RATIO,params_REBALANCE_FREQ,params_VOL_WEIGHT,user_attrs_avg_test_score,user_attrs_avg_train_score,user_attrs_test_score_std,user_attrs_train_test_gap,user_attrs_validation_error,state
45,-0.41330879348780836,2026-05-10 11:23:45.172482,2026-05-10 11:23:45.705347,0 days 00:00:00.532865,2,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.01,0.45,0.08,12,0.6,10,0.65,-0.0671717405678881,0.1502139004085253,0.6922741058398405,0.2173856409764134,,COMPLETE
46,-0.43102794021009216,2026-05-10 11:23:45.728778,2026-05-10 11:25:00.637789,0 days 00:01:14.909011,2,CAP_LAYER,0.25,SAME,0.7,2,0.05,0.01,0.45,0.08,12,0.6,10,0.65,-0.08972045972239938,0.1537239233039293,0.6826149609753855,0.2434443830263287,,COMPLETE
47,-0.27850889216362906,2026-05-10 11:25:00.660725,2026-05-10 11:25:38.363854,0 days 00:00:37.703129,2,NORMAL,0.45,ETF_DEFENSIVE,0.7,2,0.05,0.01,0.45,0.08,5,0.6,10,0.65,,,,,,PRUNED
48,0.04891743758550379,2026-05-10 11:25:38.385907,2026-05-10 11:26:21.780566,0 days 00:00:43.394659,2,NO_NET_ADD,0.45,SAME,0.7,2,0.05,0.02,0.45,0.08,12,0.5,10,0.65,,,,,,PRUNED
49,-0.5731885485755902,2026-05-10 11:26:21.802200,2026-05-10 11:31:28.174288,0 days 00:05:06.372088,2,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.01,0.6,0.08,8,0.6,5,0.65,-0.1874492765612921,0.05381574011458777,0.7714785440285962,0.24126501667587985,,COMPLETE
50,-0.4569012273685405,2026-05-10 11:31:28.219208,2026-05-10 11:32:43.799758,0 days 00:01:15.580550,2,CAP_LAYER,0.35,SAME,0.7,3,0.05,0.01,0.45,0.12,12,0.5,10,0.65,-0.10546277480842257,0.0988954436665045,0.7028769051202358,0.20435821847492708,,COMPLETE
51,-0.41330879348780836,2026-05-10 11:32:43.847126,2026-05-10 11:32:44.410886,0 days 00:00:00.563760,2,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.01,0.45,0.08,12,0.6,10,0.65,-0.0671717405678881,0.1502139004085253,0.6922741058398405,0.2173856409764134,,COMPLETE
52,-0.12946306324957604,2026-05-10 11:32:44.433254,2026-05-10 11:33:33.929472,0 days 00:00:49.496218,2,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.01,0.45,0.12,15,0.6,20,0.65,,,,,,PRUNED
53,-9999.0,2026-05-10 11:33:33.951489,2026-05-10 11:33:34.266859,0 days 00:00:00.315370,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.01,0.3,0.08,12,0.7,10,0.65,,,,,BEAR_RATIO < NEUTRAL_RATIO < BULL_RATIO 约束违反: 0.45 / 0.7 / 0.7,COMPLETE
54,-0.6084598123278051,2026-05-10 11:33:34.288264,2026-05-10 11:34:50.211490,0 days 00:01:15.923226,1,NO_NET_ADD,0.45,SAME,0.7,2,0.05,0.01,0.45,0.12,12,0.6,10,0.65,-0.23509476770251223,0.029244990691413064,0.7467300892505858,0.2643397583939253,,COMPLETE
55,-0.494280794078626,2026-05-10 11:34:50.263286,2026-05-10 11:36:10.274191,0 days 00:01:20.010905,2,NORMAL,0.35,SAME,0.9,4,0.05,0.02,0.3,0.08,12,0.5,10,0.65,-0.15938637131170763,0.12005365333968417,0.6697888455338368,0.2794400246513918,,COMPLETE
56,-0.433605774237527,2026-05-10 11:36:10.298711,2026-05-10 11:37:11.908047,0 days 00:01:01.609336,2,NO_NET_ADD,0.45,SAME,0.7,2,0.05,0.01,0.3,0.08,12,0.6,10,0.8,,,,,,PRUNED
57,-0.6333756748785373,2026-05-10 11:37:11.930136,2026-05-10 11:38:43.189471,0 days 00:01:31.259335,2,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.01,0.45,0.16,8,0.6,10,0.65,-0.2435655869554634,0.062347633415034784,0.7796201758461478,0.3059132203704982,,COMPLETE
58,0.08875441825340016,2026-05-10 11:38:43.214489,2026-05-10 11:42:21.998737,0 days 00:03:38.784248,2,CAP_LAYER,0.45,SAME,0.7,3,0.05,0.01,0.45,0.08,12,0.5,5,0.65,,,,,,PRUNED
59,-0.3845272670238281,2026-05-10 11:42:22.026487,2026-05-10 11:44:03.834561,0 days 00:01:41.808074,2,CAP_LAYER,0.45,SAME,0.8,2,0.05,0.01,0.45,0.08,10,0.6,10,0.65,-0.042875671261223984,0.1434940970869735,0.6833031915252082,0.1863697683481975,,COMPLETE
60,-0.40212069894897057,2026-05-10 11:44:03.860818,2026-05-10 11:45:18.060955,0 days 00:01:14.200137,2,CAP_LAYER,0.45,SAME,0.8,2,0.03,0.01,0.45,0.08,10,0.6,10,0.65,-0.051928966268408275,0.13084940832410105,0.7003834653611246,0.18277837459250934,,COMPLETE
61,-0.425788987501223,2026-05-10 11:45:18.082994,2026-05-10 11:46:32.218907,0 days 00:01:14.135913,2,CAP_LAYER,0.45,SAME,0.8,2,0.05,0.01,0.45,0.08,10,0.7,10,0.65,-0.058837322225262105,0.14973710586207883,0.7339033305519218,0.20857442808734095,,COMPLETE
62,-0.3845272670238281,2026-05-10 11:46:32.244791,2026-05-10 11:46:32.796112,0 days 00:00:00.551321,2,CAP_LAYER,0.45,SAME,0.8,2,0.05,0.01,0.45,0.08,10,0.6,10,0.65,-0.042875671261223984,0.1434940970869735,0.6833031915252082,0.1863697683481975,,COMPLETE
63,-0.46386842126242706,2026-05-10 11:46:32.819257,2026-05-10 11:47:51.885181,0 days 00:01:19.065924,2,CAP_LAYER,0.35,SAME,0.8,2,0.05,0.01,0.45,0.12,10,0.6,10,0.65,-0.11021813987204944,0.11071951138685396,0.7073005627807553,0.2209376512589034,,COMPLETE
64,-0.0824736285690722,2026-05-10 11:47:51.908944,2026-05-10 11:48:39.777615,0 days 00:00:47.868671,1,CAP_LAYER,0.45,SAME,0.8,2,0.05,0.01,0.6,0.08,5,0.6,10,0.65,,,,,,PRUNED
65,-0.40212069894897057,2026-05-10 11:48:39.824097,2026-05-10 11:49:54.170027,0 days 00:01:14.345930,2,NORMAL,0.45,SAME,0.8,2,0.03,0.01,0.45,0.08,10,0.6,10,0.65,-0.051928966268408275,0.13084940832410105,0.7003834653611246,0.18277837459250934,,COMPLETE
66,0.08043527655493729,2026-05-10 11:49:54.194131,2026-05-10 11:50:26.610466,0 days 00:00:32.416335,2,NORMAL,0.45,ETF_DEFENSIVE,0.8,2,0.03,0.01,0.45,0.08,10,0.6,10,0.65,,,,,,PRUNED
67,-0.424935774123553,2026-05-10 11:50:26.633976,2026-05-10 11:52:06.444994,0 days 00:01:39.811018,2,CAP_LAYER,0.45,SAME,0.8,2,0.05,0.01,0.6,0.08,10,0.6,10,0.5,-0.07635006285392955,0.14996435948119766,0.6971714225392469,0.22631442233512722,,COMPLETE
68,-0.40212069894897057,2026-05-10 11:52:06.490126,2026-05-10 11:53:20.742338,0 days 00:01:14.252212,2,CAP_LAYER,0.45,SAME,0.8,2,0.03,0.02,0.45,0.08,10,0.6,10,0.65,-0.051928966268408275,0.13084940832410105,0.7003834653611246,0.18277837459250934,,COMPLETE
69,-0.41015704011986936,2026-05-10 11:53:20.768081,2026-05-10 11:54:35.609720,0 days 00:01:14.841639,2,CAP_LAYER,0.45,SAME,0.8,3,0.03,0.02,0.3,0.08,10,0.6,10,0.65,-0.05363274728141291,0.13338585221698787,0.7130485856769129,0.18701859949840077,,COMPLETE
70,-0.4137230701316777,2026-05-10 11:54:35.635249,2026-05-10 11:55:50.835823,0 days 00:01:15.200574,2,CAP_LAYER,0.45,SAME,0.8,4,0.03,0.02,0.3,0.08,10,0.6,10,0.65,-0.05077506886494476,0.12809872200231373,0.7258960025334659,0.1788737908672585,,COMPLETE
71,-0.45405705520031325,2026-05-10 11:55:50.859462,2026-05-10 11:57:37.940435,0 days 00:01:47.080973,2,CAP_LAYER,0.45,SAME,0.8,2,0.03,0.02,0.45,0.08,12,0.6,10,0.65,-0.09896220936546832,0.15264446103488968,0.7101896916696898,0.251606670400358,,COMPLETE
72,0.05879762562016583,2026-05-10 11:57:37.966023,2026-05-10 11:58:20.477550,0 days 00:00:42.511527,1,NO_NET_ADD,0.45,SAME,0.8,2,0.03,0.01,0.45,0.08,10,0.6,10,0.65,,,,,,PRUNED
73,-0.3700261786150556,2026-05-10 11:58:20.503470,2026-05-10 11:59:29.043845,0 days 00:01:08.540375,2,CAP_LAYER,0.45,SAME,0.8,2,0.03,0.01,0.45,0.08,10,0.6,20,0.5,-0.009200422515220725,0.20058650800798908,0.7216515121996697,0.2097869305232098,,COMPLETE
74,0.1285862920991081,2026-05-10 11:59:29.087855,2026-05-10 12:00:01.479287,0 days 00:00:32.391432,2,CAP_LAYER,0.45,SAME,0.8,2,0.03,0.01,0.3,0.08,10,0.6,20,0.65,,,,,,PRUNED
75,0.21155064171686971,2026-05-10 12:00:01.502976,2026-05-10 12:00:26.357255,0 days 00:00:24.854279,2,CAP_LAYER,0.45,SAME,0.8,4,0.03,0.01,0.45,0.08,10,0.6,20,0.5,,,,,,PRUNED
76,-0.4303363732083702,2026-05-10 12:00:26.380820,2026-05-10 12:01:51.960663,0 days 00:01:25.579843,2,CAP_LAYER,0.45,SAME,0.9,2,0.03,0.01,0.45,0.08,10,0.6,10,0.65,-0.07723787787728119,0.1447582006049204,0.706196990662178,0.2219960784822016,,COMPLETE
77,-0.44133519022961637,2026-05-10 12:01:51.982097,2026-05-10 12:03:06.906442,0 days 00:01:14.924345,2,NORMAL,0.45,SAME,0.9,3,0.03,0.02,0.3,0.08,10,0.6,10,0.65,-0.09410409540622956,0.1265410430106958,0.6944621896467736,0.22064513841692535,,COMPLETE
78,0.15472329666986567,2026-05-10 12:03:06.945675,2026-05-10 12:06:36.386742,0 days 00:03:29.441067,2,CAP_LAYER,0.25,SAME,0.8,2,0.03,0.02,0.45,0.16,10,0.6,5,0.65,,,,,,PRUNED
79,-0.11652104768748714,2026-05-10 12:06:36.409220,2026-05-10 12:07:24.587862,0 days 00:00:48.178642,2,NORMAL,0.25,SAME,0.8,2,0.03,0.01,0.45,0.08,5,0.6,10,0.65,,,,,,PRUNED
80,0.11047849713231508,2026-05-10 12:07:24.610452,2026-05-10 12:07:57.412544,0 days 00:00:32.802092,2,NORMAL,0.45,SAME,0.8,2,0.03,0.01,0.45,0.16,10,0.6,20,0.65,,,,,,PRUNED
81,-9999.0,2026-05-10 12:07:57.436223,2026-05-10 12:07:57.787183,0 days 00:00:00.350960,2,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.45,0.08,10,0.7,20,0.5,,,,,BEAR_RATIO < NEUTRAL_RATIO < BULL_RATIO 约束违反: 0.45 / 0.7 / 0.7,COMPLETE
82,-0.15096867525198981,2026-05-10 12:07:57.810233,2026-05-10 12:09:00.137841,0 days 00:01:02.327608,2,CAP_LAYER,0.45,SAME,0.8,3,0.05,0.01,0.45,0.08,10,0.6,10,0.8,,,,,,PRUNED
83,-0.1742693556687666,2026-05-10 12:09:00.163807,2026-05-10 12:09:42.077716,0 days 00:00:41.913909,2,CAP_LAYER,0.35,SAME,0.8,2,0.03,0.02,0.45,0.08,10,0.6,10,0.8,,,,,,PRUNED
84,-0.00806743478982272,2026-05-10 12:09:42.101655,2026-05-10 12:10:07.666222,0 days 00:00:25.564567,2,NO_NET_ADD,0.45,SAME,0.8,2,0.05,0.01,0.45,0.08,10,0.6,20,0.65,,,,,,PRUNED
85,0.08144873845858994,2026-05-10 12:10:07.690696,2026-05-10 12:10:42.760394,0 days 00:00:35.069698,2,CAP_LAYER,0.45,ETF_DEFENSIVE,0.8,3,0.03,0.02,0.3,0.08,10,0.7,10,0.65,,,,,,PRUNED
86,-0.4035057864348227,2026-05-10 12:10:43.000307,2026-05-10 12:13:08.290702,0 days 00:02:25.290395,2,NORMAL,0.45,SAME,0.8,2,0.03,0.01,0.45,0.08,10,0.5,10,0.65,-0.06188713132977451,0.12945279820079697,0.6832373102100964,0.1913399295305715,,COMPLETE
87,-0.4035057864348227,2026-05-10 12:13:08.313438,2026-05-10 12:13:08.864817,0 days 00:00:00.551379,2,NORMAL,0.45,SAME,0.8,2,0.03,0.01,0.45,0.08,10,0.5,10,0.65,-0.06188713132977451,0.12945279820079697,0.6832373102100964,0.1913399295305715,,COMPLETE
88,0.2110145823361438,2026-05-10 12:13:08.889677,2026-05-10 12:13:50.802215,0 days 00:00:41.912538,2,NORMAL,0.45,SAME,0.8,2,0.03,0.01,0.45,0.12,10,0.5,10,0.65,,,,,,PRUNED
89,0.1436756010920445,2026-05-10 12:13:50.848437,2026-05-10 12:14:16.085132,0 days 00:00:25.236695,2,NORMAL,0.45,SAME,0.7,2,0.03,0.01,0.45,0.08,10,0.5,20,0.65,,,,,,PRUNED
