number,value,datetime_start,datetime_complete,duration,params_GRID_MAX_LAYER,params_GRID_STEP_MAX,params_GRID_STEP_MIN,params_GRID_STEP_VOL_FACTOR,params_LAYER_FRACTION,params_MAX_HOLD,params_REBALANCE_FREQ,params_VOL_WEIGHT,user_attrs_avg_test_score,user_attrs_avg_train_score,user_attrs_test_score_std,user_attrs_train_test_gap,state
32,-0.5808079879707687,2026-05-08 11:22:57.246313,2026-05-08 11:22:57.403838,0 days 00:00:00.157525,2,0.05,0.02,0.6,0.08,50,20,0.8,-0.4564140742633455,0.0038146902157996337,0.2487878274148463,0.4602287644791451,COMPLETE
33,-0.578969099929025,2026-05-08 11:22:57.413338,2026-05-08 11:22:57.649378,0 days 00:00:00.236040,3,0.05,0.01,0.6,0.08,50,20,0.8,-0.4560462215679272,0.00605337496133322,0.2458457567221957,0.4620995965292604,COMPLETE
34,-0.6314822235719273,2026-05-08 11:22:57.664855,2026-05-08 11:22:57.833065,0 days 00:00:00.168210,3,0.05,0.01,0.6,0.08,10,20,0.8,,,,,PRUNED
35,-0.5952477886687461,2026-05-08 11:22:57.846161,2026-05-08 11:22:57.997735,0 days 00:00:00.151574,2,0.05,0.01,0.6,0.08,30,10,0.8,,,,,PRUNED
36,-0.5838551528303769,2026-05-08 11:22:58.014349,2026-05-08 11:22:58.213825,0 days 00:00:00.199476,2,0.05,0.01,0.3,0.08,30,20,0.5,-0.46159038435836575,0.0015998991807086146,0.2445295369440223,0.4631902835390744,COMPLETE
37,-0.6286097972287283,2026-05-08 11:22:58.225379,2026-05-08 11:22:58.364862,0 days 00:00:00.139483,2,0.05,0.01,0.6,0.08,10,20,0.5,,,,,PRUNED
38,-0.5949077026341272,2026-05-08 11:22:58.377092,2026-05-08 11:22:58.521349,0 days 00:00:00.144257,3,0.05,0.01,0.3,0.08,50,10,0.5,,,,,PRUNED
39,-0.5975526404445798,2026-05-08 11:22:58.532271,2026-05-08 11:22:58.635143,0 days 00:00:00.102872,3,0.03,0.01,0.6,0.08,50,20,0.8,,,,,PRUNED
40,-0.6038900871162599,2026-05-08 11:22:58.644157,2026-05-08 11:22:58.735512,0 days 00:00:00.091355,3,0.05,0.01,0.6,0.12,50,10,0.8,,,,,PRUNED
41,-0.5809124743697578,2026-05-08 11:22:58.744815,2026-05-08 11:22:58.895708,0 days 00:00:00.150893,4,0.05,0.01,0.6,0.08,50,20,0.8,-0.457759688554694,0.00783529820812324,0.2463055716301275,0.46559498676281724,COMPLETE
42,-0.6200767265682279,2026-05-08 11:22:58.903780,2026-05-08 11:22:58.990998,0 days 00:00:00.087218,2,0.05,0.01,0.6,0.16,30,5,0.8,,,,,PRUNED
43,-0.5838551528303769,2026-05-08 11:22:58.999634,2026-05-08 11:22:59.152570,0 days 00:00:00.152936,2,0.05,0.01,0.3,0.08,50,20,0.8,-0.46159038435836575,0.0015998991807086146,0.2445295369440223,0.4631902835390744,COMPLETE
44,-0.5909179871540535,2026-05-08 11:22:59.160622,2026-05-08 11:22:59.253708,0 days 00:00:00.093086,2,0.05,0.01,0.6,0.08,50,5,0.8,,,,,PRUNED
45,-0.6081982030239713,2026-05-08 11:22:59.261943,2026-05-08 11:22:59.349422,0 days 00:00:00.087479,3,0.05,0.01,0.6,0.16,50,20,0.8,,,,,PRUNED
46,-0.5808079879707687,2026-05-08 11:22:59.357197,2026-05-08 11:22:59.513643,0 days 00:00:00.156446,2,0.05,0.01,0.6,0.08,30,20,0.8,-0.4564140742633455,0.0038146902157996337,0.2487878274148463,0.4602287644791451,COMPLETE
47,-0.5952477886687461,2026-05-08 11:22:59.521880,2026-05-08 11:22:59.608781,0 days 00:00:00.086901,2,0.05,0.01,0.6,0.08,50,10,0.65,,,,,PRUNED
48,-0.578969099929025,2026-05-08 11:22:59.617470,2026-05-08 11:22:59.771114,0 days 00:00:00.153644,3,0.05,0.01,0.6,0.08,50,20,0.8,-0.4560462215679272,0.00605337496133322,0.2458457567221957,0.4620995965292604,COMPLETE
49,-0.578969099929025,2026-05-08 11:22:59.780492,2026-05-08 11:22:59.945070,0 days 00:00:00.164578,3,0.05,0.01,0.6,0.08,30,20,0.5,-0.4560462215679272,0.00605337496133322,0.2458457567221957,0.4620995965292604,COMPLETE
50,-0.5795032069711458,2026-05-08 11:22:59.953816,2026-05-08 11:23:00.131446,0 days 00:00:00.177630,3,0.05,0.01,0.45,0.08,30,20,0.5,-0.4563492756201414,0.005659615781494328,0.24630786270200875,0.4620088914016357,COMPLETE
51,-0.5795032069711458,2026-05-08 11:23:00.140147,2026-05-08 11:23:00.303607,0 days 00:00:00.163460,3,0.05,0.01,0.45,0.08,30,20,0.5,-0.4563492756201414,0.005659615781494328,0.24630786270200875,0.4620088914016357,COMPLETE
52,-0.5795032069711458,2026-05-08 11:23:00.312850,2026-05-08 11:23:00.469096,0 days 00:00:00.156246,3,0.05,0.01,0.45,0.08,30,20,0.5,-0.4563492756201414,0.005659615781494328,0.24630786270200875,0.4620088914016357,COMPLETE
53,-0.5869801368260765,2026-05-08 11:23:00.477533,2026-05-08 11:23:00.568737,0 days 00:00:00.091204,3,0.05,0.01,0.45,0.12,30,20,0.5,,,,,PRUNED
54,-0.578969099929025,2026-05-08 11:23:00.578493,2026-05-08 11:23:00.734549,0 days 00:00:00.156056,3,0.05,0.01,0.6,0.08,30,20,0.5,-0.4560462215679272,0.00605337496133322,0.2458457567221957,0.4620995965292604,COMPLETE
55,-0.5809124743697578,2026-05-08 11:23:00.745111,2026-05-08 11:23:00.905155,0 days 00:00:00.160044,4,0.05,0.01,0.6,0.08,30,20,0.5,-0.457759688554694,0.00783529820812324,0.2463055716301275,0.46559498676281724,COMPLETE
56,-0.5928193994794824,2026-05-08 11:23:00.914205,2026-05-08 11:23:01.002847,0 days 00:00:00.088642,3,0.05,0.01,0.6,0.08,30,5,0.5,,,,,PRUNED
57,-0.578969099929025,2026-05-08 11:23:01.011690,2026-05-08 11:23:01.160516,0 days 00:00:00.148826,3,0.05,0.01,0.6,0.08,30,20,0.5,-0.4560462215679272,0.00605337496133322,0.2458457567221957,0.4620995965292604,COMPLETE
58,-0.578969099929025,2026-05-08 11:23:01.168948,2026-05-08 11:23:01.323404,0 days 00:00:00.154456,3,0.05,0.02,0.6,0.08,30,20,0.5,-0.4560462215679272,0.00605337496133322,0.2458457567221957,0.4620995965292604,COMPLETE
59,-0.578969099929025,2026-05-08 11:23:01.332240,2026-05-08 11:23:01.485483,0 days 00:00:00.153243,3,0.05,0.01,0.6,0.08,50,20,0.5,-0.4560462215679272,0.00605337496133322,0.2458457567221957,0.4620995965292604,COMPLETE
60,-0.578969099929025,2026-05-08 11:23:01.492902,2026-05-08 11:23:01.647786,0 days 00:00:00.154884,3,0.05,0.02,0.6,0.08,30,20,0.5,-0.4560462215679272,0.00605337496133322,0.2458457567221957,0.4620995965292604,COMPLETE
