timestamp,action,name,code,price,shares,position,profit,level,date,year_month,label
2015-04-09 14:07:00,止盈,创业板ETF易方达,159915.XSHE,2.339,2200.0,15000,157.89,-4.0,2015-04-09,2015-04,"创业板ETF易方达
159915.XSHE"
2015-04-09 14:34:00,止盈,创业板ETF易方达,159915.XSHE,2.418,2100.0,12900,165.39,-5.0,2015-04-09,2015-04,"创业板ETF易方达
159915.XSHE"
2015-04-10 09:55:00,止盈,500ETF,510500.XSHG,2.191,2300.0,21000,149.0,-1.0,2015-04-10,2015-04,"500ETF
510500.XSHG"
2015-04-15 09:31:00,止盈,500ETF,510500.XSHG,8.078,2200.0,3687,12949.62,-2.0,2015-04-15,2015-04,"500ETF
510500.XSHG"
2015-04-15 11:15:00,加仓,500ETF,510500.XSHG,7.835,600.0,4287,,-1.0,2015-04-15,2015-04,"500ETF
510500.XSHG"
2015-04-15 14:55:00,加仓,创业板ETF易方达,159915.XSHE,2.34,2000.0,14900,,-4.0,2015-04-15,2015-04,"创业板ETF易方达
159915.XSHE"
2015-04-16 09:32:00,加仓,500ETF,510500.XSHG,7.53,600.0,4887,,0.0,2015-04-16,2015-04,"500ETF
510500.XSHG"
2015-04-16 09:49:00,止盈,500ETF,510500.XSHG,7.76,600.0,4287,137.53,-1.0,2015-04-16,2015-04,"500ETF
510500.XSHG"
2015-04-16 10:43:00,止盈,创业板ETF易方达,159915.XSHE,2.412,2100.0,12800,150.69,-5.0,2015-04-16,2015-04,"创业板ETF易方达
159915.XSHE"
2015-04-17 09:41:00,止盈,500ETF,510500.XSHG,8.0,600.0,3687,143.52,-2.0,2015-04-17,2015-04,"500ETF
510500.XSHG"
2015-04-20 09:33:00,加仓,创业板ETF易方达,159915.XSHE,2.33,2000.0,14800,,-4.0,2015-04-20,2015-04,"创业板ETF易方达
159915.XSHE"
2015-04-21 10:02:00,止盈,创业板ETF易方达,159915.XSHE,2.401,2100.0,12700,148.6,-5.0,2015-04-21,2015-04,"创业板ETF易方达
159915.XSHE"
2015-04-21 14:31:00,破顶-提前,创业板ETF易方达,159915.XSHE,2.474,,20200,,-5.0,2015-04-21,2015-04,"创业板ETF易方达
159915.XSHE"
2015-04-22 09:39:00,止盈,500ETF,510500.XSHG,8.24,600.0,3087,143.51,-3.0,2015-04-22,2015-04,"500ETF
510500.XSHG"
2015-04-23 09:32:00,止盈,创业板ETF易方达,159915.XSHE,2.55,2000.0,18200,151.49,-1.0,2015-04-23,2015-04,"创业板ETF易方达
159915.XSHE"
2015-04-24 10:33:00,止盈,创业板ETF易方达,159915.XSHE,2.631,1900.0,16300,153.4,-2.0,2015-04-24,2015-04,"创业板ETF易方达
159915.XSHE"
2015-04-27 09:32:00,止盈,500ETF,510500.XSHG,8.509,600.0,2487,160.89,-4.0,2015-04-27,2015-04,"500ETF
510500.XSHG"
2015-04-27 09:39:00,止盈,纳指ETF,513100.XSHG,1.481,3400.0,28700,149.1,-2.0,2015-04-27,2015-04,"纳指ETF
513100.XSHG"
2015-04-28 14:23:00,加仓,500ETF,510500.XSHG,8.25,500.0,2987,,-3.0,2015-04-28,2015-04,"500ETF
510500.XSHG"
2015-04-29 14:51:00,止盈,创业板ETF易方达,159915.XSHE,2.71,1900.0,14400,149.59,-3.0,2015-04-29,2015-04,"创业板ETF易方达
159915.XSHE"
2015-04-30 09:31:00,止盈,500ETF,510500.XSHG,8.512,600.0,2387,156.69,-4.0,2015-04-30,2015-04,"500ETF
510500.XSHG"
2015-04-30 10:52:00,止盈,创业板ETF易方达,159915.XSHE,2.799,1800.0,12600,159.7,-4.0,2015-04-30,2015-04,"创业板ETF易方达
159915.XSHE"
2015-05-04 09:39:00,加仓,创业板ETF易方达,159915.XSHE,2.706,1700.0,14300,,-3.0,2015-05-04,2015-05,"创业板ETF易方达
159915.XSHE"
2015-05-05 14:18:00,加仓,500ETF,510500.XSHG,8.253,500.0,2887,,-3.0,2015-05-05,2015-05,"500ETF
510500.XSHG"
2015-05-06 09:31:00,加仓,纳指ETF,513100.XSHG,1.432,3300.0,32000,,-1.0,2015-05-06,2015-05,"纳指ETF
513100.XSHG"
2015-05-06 10:36:00,止盈,创业板ETF易方达,159915.XSHE,2.789,1800.0,12500,148.9,-4.0,2015-05-06,2015-05,"创业板ETF易方达
159915.XSHE"
2015-05-07 09:52:00,加仓,创业板ETF易方达,159915.XSHE,2.702,1700.0,14200,,-3.0,2015-05-07,2015-05,"创业板ETF易方达
159915.XSHE"
2015-05-07 10:09:00,加仓,500ETF,510500.XSHG,8.0,600.0,3487,,-2.0,2015-05-07,2015-05,"500ETF
510500.XSHG"
2015-05-08 10:11:00,止盈,创业板ETF易方达,159915.XSHE,2.786,1800.0,12400,150.7,-4.0,2015-05-08,2015-05,"创业板ETF易方达
159915.XSHE"
2015-05-08 14:33:00,止盈,创业板ETF易方达,159915.XSHE,2.871,1700.0,10700,144.01,-5.0,2015-05-08,2015-05,"创业板ETF易方达
159915.XSHE"
2015-05-08 14:42:00,止盈,500ETF,510500.XSHG,8.276,600.0,2887,165.1,-3.0,2015-05-08,2015-05,"500ETF
510500.XSHG"
