timestamp,action,name,code,price,shares,position,profit,level,date,year_month,label
2019-03-05 10:41:00,止盈,500ETF,510500.XSHG,5.574,900.0,7500,101.2,-2.0,2019-03-05,2019-03,"500ETF
510500.XSHG"
2019-03-05 14:57:00,止盈,中概互联,513050.XSHG,1.261,4700.0,9800,116.91,-8.0,2019-03-05,2019-03,"中概互联
513050.XSHG"
2019-03-06 09:31:00,止盈,500ETF,510500.XSHG,5.689,900.0,6600,102.99,-3.0,2019-03-06,2019-03,"500ETF
510500.XSHG"
2019-03-06 13:20:00,破顶,中概互联,513050.XSHG,1.287,,38800,,,2019-03-06,2019-03,"中概互联
513050.XSHG"
2019-03-07 10:03:00,止盈,500ETF,510500.XSHG,5.811,900.0,5700,109.28,-4.0,2019-03-07,2019-03,"500ETF
510500.XSHG"
2019-03-08 09:31:00,加仓,纳指ETF,513100.XSHG,2.455,2200.0,15600,,-3.0,2019-03-08,2019-03,"纳指ETF
513100.XSHG"
2019-03-08 09:31:00,加仓,500ETF,510500.XSHG,5.658,900.0,6600,,-3.0,2019-03-08,2019-03,"500ETF
510500.XSHG"
2019-03-08 09:31:00,加仓,中概互联,513050.XSHG,1.236,3800.0,42600,,1.0,2019-03-08,2019-03,"中概互联
513050.XSHG"
2019-03-08 09:32:00,加仓,医药ETF,512010.XSHG,1.543,3100.0,34700,,1.0,2019-03-08,2019-03,"医药ETF
512010.XSHG"
2019-03-08 09:56:00,止盈,医药ETF,512010.XSHG,1.574,3100.0,31600,95.61,0.0,2019-03-08,2019-03,"医药ETF
512010.XSHG"
2019-03-08 10:12:00,止盈,500ETF,510500.XSHG,5.772,900.0,5700,102.08,-4.0,2019-03-08,2019-03,"500ETF
510500.XSHG"
2019-03-08 14:41:00,加仓,500ETF,510500.XSHG,5.652,900.0,6600,,-3.0,2019-03-08,2019-03,"500ETF
510500.XSHG"
2019-03-11 11:11:00,止盈,500ETF,510500.XSHG,5.769,900.0,5700,104.78,-4.0,2019-03-11,2019-03,"500ETF
510500.XSHG"
2019-03-12 09:31:00,止盈,纳指ETF,513100.XSHG,2.507,2200.0,13400,113.85,-4.0,2019-03-12,2019-03,"纳指ETF
513100.XSHG"
2019-03-12 09:31:00,止盈,医药ETF,512010.XSHG,1.61,3100.0,28500,111.1,-1.0,2019-03-12,2019-03,"医药ETF
512010.XSHG"
2019-03-12 09:31:00,止盈,中概互联,513050.XSHG,1.269,3800.0,38800,124.92,0.0,2019-03-12,2019-03,"中概互联
513050.XSHG"
