number,value,datetime_start,datetime_complete,duration,params_BEAR_GRID_MAX_LAYER_CAP,params_BEAR_GRID_MODE,params_BEAR_RATIO,params_BEAR_UNIVERSE_MODE,params_BULL_RATIO,params_GRID_MAX_LAYER,params_GRID_STEP_MAX,params_GRID_STEP_MIN,params_GRID_STEP_VOL_FACTOR,params_LAYER_FRACTION,params_MAX_HOLD,params_MIN_ANCHORS_IN_POOL,params_NEUTRAL_RATIO,params_REBALANCE_FREQ,params_UNIVERSE_MODE,params_VOL_WEIGHT,user_attrs_avg_test_score,user_attrs_avg_train_score,user_attrs_test_score_std,user_attrs_train_test_gap,user_attrs_validation_error,state
45,-0.3364910647092562,2026-05-14 00:06:26.559898,2026-05-14 00:08:39.228493,0 days 00:02:12.668595,0,CAP_LAYER,0.45,SAME,0.7,4,0.03,0.01,0.6,0.12,3,2,0.5,5,WIDE_V2,0.5,-0.07923544236911266,-0.058894328369012226,0.5145112446802871,0.020341114000100434,,COMPLETE
46,0.1506254059661285,2026-05-14 00:08:39.254829,2026-05-14 00:09:18.619245,0 days 00:00:39.364416,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.45,0.12,3,2,0.5,10,WIDE_V2,0.5,,,,,,PRUNED
47,-0.3679209438865948,2026-05-14 00:09:18.646448,2026-05-14 00:09:30.087694,0 days 00:00:11.441246,0,CAP_LAYER,0.45,SAME,0.7,4,0.03,0.01,0.6,0.08,3,2,0.5,5,ANCHOR_SATELLITE,0.5,,,,,,PRUNED
48,0.1620645546108947,2026-05-14 00:09:30.110325,2026-05-14 00:10:45.393827,0 days 00:01:15.283502,1,CAP_LAYER,0.35,SAME,0.7,2,0.03,0.01,0.6,0.16,3,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
49,0.17522091930763067,2026-05-14 00:10:45.417456,2026-05-14 00:11:59.930268,0 days 00:01:14.512812,0,CAP_LAYER,0.45,SAME,0.8,4,0.03,0.01,0.6,0.12,3,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
50,0.13202072967087108,2026-05-14 00:11:59.956120,2026-05-14 00:13:21.373552,0 days 00:01:21.417432,0,CAP_LAYER,0.45,SAME,0.7,3,0.03,0.01,0.6,0.12,3,2,0.5,5,WIDE_V2,0.8,,,,,,PRUNED
51,-0.31605091683366315,2026-05-14 00:13:21.397465,2026-05-14 00:15:32.468880,0 days 00:02:11.071415,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.6,0.12,3,1,0.5,5,WIDE_V2,0.5,-0.04781335681448906,-0.017993193791458337,0.5364751200383482,0.029820163023030723,,COMPLETE
52,-0.31605091683366315,2026-05-14 00:15:32.493177,2026-05-14 00:15:33.079948,0 days 00:00:00.586771,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.6,0.12,3,1,0.5,5,WIDE_V2,0.5,-0.04781335681448906,-0.017993193791458337,0.5364751200383482,0.029820163023030723,,COMPLETE
53,-0.4022358980258101,2026-05-14 00:15:33.105214,2026-05-14 00:17:54.171031,0 days 00:02:21.065817,0,NORMAL,0.45,SAME,0.7,2,0.03,0.01,0.6,0.12,4,1,0.5,5,WIDE_V2,0.5,-0.06595935355920902,0.11743447521957426,0.6725530889332022,0.1833938287787833,,COMPLETE
54,-0.15812859222888392,2026-05-14 00:17:54.199530,2026-05-14 00:18:25.164006,0 days 00:00:30.964476,0,CAP_LAYER,0.45,ETF_DEFENSIVE,0.7,2,0.03,0.01,0.6,0.12,3,1,0.5,10,WIDE_V2,0.65,,,,,,PRUNED
