number,value,datetime_start,datetime_complete,duration,params_BEAR_GRID_MAX_LAYER_CAP,params_BEAR_GRID_MODE,params_BEAR_RATIO,params_BEAR_UNIVERSE_MODE,params_BULL_RATIO,params_GRID_MAX_LAYER,params_GRID_STEP_MAX,params_GRID_STEP_MIN,params_GRID_STEP_VOL_FACTOR,params_LAYER_FRACTION,params_MAX_HOLD,params_MIN_ANCHORS_IN_POOL,params_NEUTRAL_RATIO,params_REBALANCE_FREQ,params_UNIVERSE_MODE,params_VOL_WEIGHT,user_attrs_avg_test_score,user_attrs_avg_train_score,user_attrs_test_score_std,user_attrs_train_test_gap,user_attrs_validation_error,state
173,-0.3497363192710759,2026-05-14 02:35:55.679892,2026-05-14 02:38:16.054850,0 days 00:02:20.374958,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.3,0.08,3,2,0.5,5,WIDE_V2,0.65,-0.019912436579963617,0.04560171496660478,0.6596477653822246,0.0655141515465684,,COMPLETE
174,-0.34798227804735105,2026-05-14 02:38:16.082378,2026-05-14 02:40:29.061051,0 days 00:02:12.978673,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.3,0.08,3,2,0.6,5,WIDE_V2,0.5,-0.0556643785185456,0.01584091790490896,0.5846357990576109,0.07150529642345456,,COMPLETE
175,0.1972737632845616,2026-05-14 02:40:29.085161,2026-05-14 02:41:43.454687,0 days 00:01:14.369526,0,CAP_LAYER,0.25,SAME,0.7,2,0.03,0.01,0.3,0.08,3,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
176,-0.47694558350986394,2026-05-14 02:41:43.478790,2026-05-14 02:43:10.747554,0 days 00:01:27.268764,0,CAP_LAYER,0.45,SAME,0.8,2,0.03,0.02,0.3,0.08,5,1,0.5,10,WIDE_V2,0.5,-0.1131644251695667,0.11433572585417263,0.7275623166805945,0.22750015102373933,,COMPLETE
177,-0.31581485712334734,2026-05-14 02:43:10.770485,2026-05-14 02:43:11.364628,0 days 00:00:00.594143,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.3,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.04081441550343596,0.0015564414249567321,0.5500008832398228,0.042370856928392694,,COMPLETE
178,-0.5231502888238849,2026-05-14 02:43:11.390776,2026-05-14 02:45:26.019093,0 days 00:02:14.628317,0,CAP_LAYER,0.25,SAME,0.7,3,0.03,0.02,0.3,0.08,5,1,0.5,5,WIDE_V2,0.5,-0.1618762206602516,0.01946281101627187,0.7225481363272667,0.18133903167652346,,COMPLETE
179,0.1972737632845616,2026-05-14 02:45:26.044776,2026-05-14 02:46:42.432876,0 days 00:01:16.388100,0,CAP_LAYER,0.25,SAME,0.7,2,0.03,0.02,0.3,0.08,3,1,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
180,-0.31581485712334734,2026-05-14 02:46:42.457816,2026-05-14 02:48:52.292418,0 days 00:02:09.834602,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.04081441550343596,0.0015564414249567321,0.5500008832398228,0.042370856928392694,,COMPLETE
181,-0.31581485712334734,2026-05-14 02:48:52.314499,2026-05-14 02:48:52.891427,0 days 00:00:00.576928,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.04081441550343596,0.0015564414249567321,0.5500008832398228,0.042370856928392694,,COMPLETE
182,-0.31581485712334734,2026-05-14 02:48:52.916218,2026-05-14 02:48:53.548036,0 days 00:00:00.631818,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.04081441550343596,0.0015564414249567321,0.5500008832398228,0.042370856928392694,,COMPLETE
183,-0.31581485712334734,2026-05-14 02:48:53.572790,2026-05-14 02:48:54.159485,0 days 00:00:00.586695,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.04081441550343596,0.0015564414249567321,0.5500008832398228,0.042370856928392694,,COMPLETE
184,-0.31581485712334734,2026-05-14 02:48:54.182660,2026-05-14 02:48:54.765763,0 days 00:00:00.583103,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.04081441550343596,0.0015564414249567321,0.5500008832398228,0.042370856928392694,,COMPLETE
185,0.1877311079676765,2026-05-14 02:48:54.788561,2026-05-14 02:49:59.597053,0 days 00:01:04.808492,0,CAP_LAYER,0.45,ETF_DEFENSIVE,0.7,2,0.03,0.01,0.6,0.08,4,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
186,-0.31581485712334734,2026-05-14 02:49:59.624505,2026-05-14 02:50:00.243939,0 days 00:00:00.619434,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.04081441550343596,0.0015564414249567321,0.5500008832398228,0.042370856928392694,,COMPLETE
187,0.23085064372533984,2026-05-14 02:50:00.280399,2026-05-14 02:51:17.470426,0 days 00:01:17.190027,0,NORMAL,0.45,SAME,0.7,2,0.03,0.01,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
188,0.22803878203198572,2026-05-14 02:51:17.495208,2026-05-14 02:52:31.440686,0 days 00:01:13.945478,0,CAP_LAYER,0.35,SAME,0.7,2,0.03,0.01,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
189,0.2360364199457966,2026-05-14 02:52:31.467295,2026-05-14 02:53:48.202687,0 days 00:01:16.735392,0,CAP_LAYER,0.45,SAME,0.7,3,0.03,0.01,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
190,-0.311943513174594,2026-05-14 02:53:48.227613,2026-05-14 02:55:59.628579,0 days 00:02:11.400966,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.01,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.03503602807514746,0.0022846139529225295,0.5538149701988931,0.03732064202806999,,COMPLETE
191,-0.3574296867331643,2026-05-14 02:55:59.653271,2026-05-14 02:56:11.014486,0 days 00:00:11.361215,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.01,0.6,0.08,3,2,0.5,5,ANCHOR_SATELLITE,0.5,,,,,,PRUNED
192,-9999.0,2026-05-14 02:56:11.038474,2026-05-14 02:56:11.419551,0 days 00:00:00.381077,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.01,0.6,0.08,3,2,0.7,5,WIDE_V2,0.5,,,,,BEAR_RATIO < NEUTRAL_RATIO < BULL_RATIO 约束违反: 0.45 / 0.7 / 0.7,COMPLETE
193,0.13652543627613148,2026-05-14 02:56:11.447361,2026-05-14 02:56:54.626546,0 days 00:00:43.179185,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.01,0.6,0.08,8,2,0.5,20,WIDE_V2,0.5,,,,,,PRUNED
194,-0.31581485712334734,2026-05-14 02:56:54.652756,2026-05-14 02:59:05.971002,0 days 00:02:11.318246,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.45,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.04081441550343596,0.0015564414249567321,0.5500008832398228,0.042370856928392694,,COMPLETE
195,-0.31581485712334734,2026-05-14 02:59:05.998243,2026-05-14 02:59:06.605367,0 days 00:00:00.607124,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.45,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.04081441550343596,0.0015564414249567321,0.5500008832398228,0.042370856928392694,,COMPLETE
196,-0.31581485712334734,2026-05-14 02:59:06.629870,2026-05-14 02:59:07.264844,0 days 00:00:00.634974,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.45,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.04081441550343596,0.0015564414249567321,0.5500008832398228,0.042370856928392694,,COMPLETE
197,0.22786268341686633,2026-05-14 02:59:07.290418,2026-05-14 03:00:21.250210,0 days 00:01:13.959792,0,CAP_LAYER,0.45,SAME,0.9,2,0.03,0.01,0.45,0.08,3,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
198,-0.31581485712334734,2026-05-14 03:00:21.275725,2026-05-14 03:00:21.885142,0 days 00:00:00.609417,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.45,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.04081441550343596,0.0015564414249567321,0.5500008832398228,0.042370856928392694,,COMPLETE
199,0.17984979130827033,2026-05-14 03:00:21.909528,2026-05-14 03:01:43.059006,0 days 00:01:21.149478,0,NO_NET_ADD,0.45,SAME,0.7,2,0.03,0.01,0.45,0.08,3,2,0.5,5,WIDE_V2,0.8,,,,,,PRUNED
200,-0.38343819006432145,2026-05-14 03:01:43.087563,2026-05-14 03:04:08.243004,0 days 00:02:25.155441,0,CAP_LAYER,0.45,SAME,0.7,4,0.03,0.01,0.45,0.08,4,2,0.5,5,WIDE_V2,0.5,-0.038599718880466725,0.11475259420717189,0.6896769423677095,0.1533523130876386,,COMPLETE
201,-0.31581485712334734,2026-05-14 03:04:08.269187,2026-05-14 03:04:08.978428,0 days 00:00:00.709241,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.45,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.04081441550343596,0.0015564414249567321,0.5500008832398228,0.042370856928392694,,COMPLETE
202,-0.31581485712334734,2026-05-14 03:04:09.003424,2026-05-14 03:04:09.613893,0 days 00:00:00.610469,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.45,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.04081441550343596,0.0015564414249567321,0.5500008832398228,0.042370856928392694,,COMPLETE
203,0.1069727882206654,2026-05-14 03:04:09.638430,2026-05-14 03:04:49.156712,0 days 00:00:39.518282,0,CAP_LAYER,0.25,SAME,0.7,2,0.05,0.01,0.6,0.08,3,2,0.5,10,WIDE_V2,0.5,,,,,,PRUNED
204,-0.21452315414110282,2026-05-14 03:04:49.182187,2026-05-14 03:05:13.502345,0 days 00:00:24.320158,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.6,0.08,3,2,0.5,20,WIDE_V2,0.65,,,,,,PRUNED
205,-0.5134843476924797,2026-05-14 03:05:13.525579,2026-05-14 03:07:44.310865,0 days 00:02:30.785286,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.6,0.08,6,2,0.5,5,WIDE_V2,0.5,-0.12310003576894306,0.061254300593328766,0.7807686238470735,0.18435433636227183,,COMPLETE
206,-0.311943513174594,2026-05-14 03:07:44.337116,2026-05-14 03:09:59.648661,0 days 00:02:15.311545,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.03503602807514746,0.0022846139529225295,0.5538149701988931,0.03732064202806999,,COMPLETE
207,-0.311943513174594,2026-05-14 03:09:59.671871,2026-05-14 03:10:00.276109,0 days 00:00:00.604238,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.03503602807514746,0.0022846139529225295,0.5538149701988931,0.03732064202806999,,COMPLETE
208,-0.311943513174594,2026-05-14 03:10:00.303938,2026-05-14 03:10:00.903890,0 days 00:00:00.599952,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.03503602807514746,0.0022846139529225295,0.5538149701988931,0.03732064202806999,,COMPLETE
209,-0.311943513174594,2026-05-14 03:10:00.931038,2026-05-14 03:10:01.558914,0 days 00:00:00.627876,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.03503602807514746,0.0022846139529225295,0.5538149701988931,0.03732064202806999,,COMPLETE
210,-0.311943513174594,2026-05-14 03:10:01.584980,2026-05-14 03:10:02.182948,0 days 00:00:00.597968,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.03503602807514746,0.0022846139529225295,0.5538149701988931,0.03732064202806999,,COMPLETE
211,-0.311943513174594,2026-05-14 03:10:02.212803,2026-05-14 03:10:02.817921,0 days 00:00:00.605118,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.03503602807514746,0.0022846139529225295,0.5538149701988931,0.03732064202806999,,COMPLETE
212,0.243571435401933,2026-05-14 03:10:02.846742,2026-05-14 03:11:20.248054,0 days 00:01:17.401312,0,CAP_LAYER,0.45,SAME,0.8,2,0.05,0.02,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
213,0.23260337864165503,2026-05-14 03:11:20.275487,2026-05-14 03:12:34.430753,0 days 00:01:14.155266,0,NO_NET_ADD,0.45,SAME,0.7,2,0.05,0.02,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
214,-0.010465234969202625,2026-05-14 03:12:34.470326,2026-05-14 03:12:56.841118,0 days 00:00:22.370792,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.08,3,2,0.5,20,WIDE_V2,0.5,,,,,,PRUNED
215,-0.5276209783417208,2026-05-14 03:12:56.867542,2026-05-14 03:15:18.423120,0 days 00:02:21.555578,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.16,6,2,0.5,5,WIDE_V2,0.5,-0.13247711957668523,0.03254919193721438,0.7902877175300712,0.16502631151389963,,COMPLETE
216,0.1455602320444063,2026-05-14 03:15:18.448109,2026-05-14 03:16:52.532420,0 days 00:01:34.084311,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.08,10,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
217,-0.311943513174594,2026-05-14 03:16:52.555589,2026-05-14 03:16:53.205586,0 days 00:00:00.649997,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.03503602807514746,0.0022846139529225295,0.5538149701988931,0.03732064202806999,,COMPLETE
218,-0.34894290201201295,2026-05-14 03:16:53.230234,2026-05-14 03:19:04.732120,0 days 00:02:11.501886,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.08,3,2,0.6,5,WIDE_V2,0.5,-0.054590835962187244,0.017889351538055043,0.5887041320996514,0.0724801875002423,,COMPLETE
219,0.23301221659087937,2026-05-14 03:19:04.757395,2026-05-14 03:20:21.520328,0 days 00:01:16.762933,0,CAP_LAYER,0.35,SAME,0.7,2,0.05,0.02,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
220,0.2341731248582664,2026-05-14 03:20:21.545359,2026-05-14 03:21:42.021689,0 days 00:01:20.476330,0,CAP_LAYER,0.45,SAME,0.9,2,0.05,0.02,0.3,0.08,3,1,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
221,0.2504416468491144,2026-05-14 03:21:42.050379,2026-05-14 03:22:56.553150,0 days 00:01:14.502771,1,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
222,-0.11656067494526245,2026-05-14 03:22:56.579128,2026-05-14 03:23:40.178315,0 days 00:00:43.599187,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.16,3,2,0.5,10,WIDE_V2,0.65,,,,,,PRUNED
223,0.2480339546150649,2026-05-14 03:23:40.205345,2026-05-14 03:24:54.601815,0 days 00:01:14.396470,0,CAP_LAYER,0.45,SAME,0.7,4,0.05,0.02,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
224,-0.311943513174594,2026-05-14 03:24:54.626852,2026-05-14 03:24:55.256767,0 days 00:00:00.629915,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.03503602807514746,0.0022846139529225295,0.5538149701988931,0.03732064202806999,,COMPLETE
225,-0.311943513174594,2026-05-14 03:24:55.281933,2026-05-14 03:24:55.913527,0 days 00:00:00.631594,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.03503602807514746,0.0022846139529225295,0.5538149701988931,0.03732064202806999,,COMPLETE
226,-0.3704932253351757,2026-05-14 03:24:55.939517,2026-05-14 03:27:21.734815,0 days 00:02:25.795298,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.01,0.6,0.08,4,2,0.5,5,WIDE_V2,0.5,-0.02348578046968965,0.14780280096490886,0.6940148897309721,0.17128858143459852,,COMPLETE
227,0.23799538709797766,2026-05-14 03:27:21.759355,2026-05-14 03:28:54.980526,0 days 00:01:33.221171,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.45,0.08,8,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
228,-0.311943513174594,2026-05-14 03:28:55.003720,2026-05-14 03:28:55.635538,0 days 00:00:00.631818,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.03503602807514746,0.0022846139529225295,0.5538149701988931,0.03732064202806999,,COMPLETE
229,-0.14618660438011008,2026-05-14 03:28:55.661517,2026-05-14 03:29:06.576406,0 days 00:00:10.914889,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.08,5,2,0.5,5,ANCHOR_SATELLITE,0.5,,,,,,PRUNED
230,0.1764323733707165,2026-05-14 03:29:06.619853,2026-05-14 03:30:28.111806,0 days 00:01:21.491953,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.45,0.08,3,2,0.5,5,WIDE_V2,0.8,,,,,,PRUNED
231,-0.348826446529591,2026-05-14 03:30:28.163462,2026-05-14 03:32:50.054619,0 days 00:02:21.891157,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.08,3,2,0.5,5,WIDE_V2,0.65,-0.021232264479312257,0.046847227582617286,0.6551883641005575,0.06807949206192954,,COMPLETE
232,0.0659194981313123,2026-05-14 03:32:50.077922,2026-05-14 03:33:46.808938,0 days 00:00:56.731016,0,CAP_LAYER,0.45,ETF_DEFENSIVE,0.7,2,0.05,0.02,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
233,0.23677312830160582,2026-05-14 03:33:46.837521,2026-05-14 03:35:02.513330,0 days 00:01:15.675809,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.12,3,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
234,0.2341731248582664,2026-05-14 03:35:02.536196,2026-05-14 03:36:19.926085,0 days 00:01:17.389889,0,CAP_LAYER,0.45,SAME,0.9,2,0.05,0.01,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
235,-0.311943513174594,2026-05-14 03:36:19.950362,2026-05-14 03:36:20.600187,0 days 00:00:00.649825,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.03503602807514746,0.0022846139529225295,0.5538149701988931,0.03732064202806999,,COMPLETE
236,-0.311943513174594,2026-05-14 03:36:20.628888,2026-05-14 03:36:21.208143,0 days 00:00:00.579255,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.03503602807514746,0.0022846139529225295,0.5538149701988931,0.03732064202806999,,COMPLETE
237,-0.311943513174594,2026-05-14 03:36:21.231464,2026-05-14 03:36:21.743682,0 days 00:00:00.512218,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.03503602807514746,0.0022846139529225295,0.5538149701988931,0.03732064202806999,,COMPLETE
238,0.09895097809380118,2026-05-14 03:36:21.767132,2026-05-14 03:37:45.288850,0 days 00:01:23.521718,0,CAP_LAYER,0.25,SAME,0.7,2,0.05,0.02,0.6,0.08,5,2,0.5,5,WIDE_V2,0.8,,,,,,PRUNED
239,-0.311943513174594,2026-05-14 03:37:45.316638,2026-05-14 03:37:46.017559,0 days 00:00:00.700921,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.03503602807514746,0.0022846139529225295,0.5538149701988931,0.03732064202806999,,COMPLETE
240,-0.311943513174594,2026-05-14 03:37:46.042512,2026-05-14 03:37:46.648366,0 days 00:00:00.605854,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.03503602807514746,0.0022846139529225295,0.5538149701988931,0.03732064202806999,,COMPLETE
241,-0.311943513174594,2026-05-14 03:37:46.696382,2026-05-14 03:37:47.298188,0 days 00:00:00.601806,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.03503602807514746,0.0022846139529225295,0.5538149701988931,0.03732064202806999,,COMPLETE
242,-0.3497363192710759,2026-05-14 03:37:47.324698,2026-05-14 03:40:04.113802,0 days 00:02:16.789104,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.3,0.08,3,1,0.5,5,WIDE_V2,0.65,-0.019912436579963617,0.04560171496660478,0.6596477653822246,0.0655141515465684,,COMPLETE
243,-0.34798227804735105,2026-05-14 03:40:04.139018,2026-05-14 03:42:19.554828,0 days 00:02:15.415810,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.3,0.08,3,1,0.6,5,WIDE_V2,0.5,-0.0556643785185456,0.01584091790490896,0.5846357990576109,0.07150529642345456,,COMPLETE
244,-0.311943513174594,2026-05-14 03:42:19.578642,2026-05-14 03:42:17.355189,-1 days +23:59:57.776547,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.03503602807514746,0.0022846139529225295,0.5538149701988931,0.03732064202806999,,COMPLETE
245,0.19337227467168297,2026-05-14 03:42:17.380387,2026-05-14 03:43:34.554337,0 days 00:01:17.173950,0,NORMAL,0.25,SAME,0.7,2,0.05,0.02,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
246,-0.311943513174594,2026-05-14 03:43:34.580135,2026-05-14 03:43:35.401482,0 days 00:00:00.821347,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.03503602807514746,0.0022846139529225295,0.5538149701988931,0.03732064202806999,,COMPLETE
247,-0.311943513174594,2026-05-14 03:43:35.430289,2026-05-14 03:43:36.031445,0 days 00:00:00.601156,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.03503602807514746,0.0022846139529225295,0.5538149701988931,0.03732064202806999,,COMPLETE
248,0.1692441147457292,2026-05-14 03:43:36.059311,2026-05-14 03:44:17.989451,0 days 00:00:41.930140,0,CAP_LAYER,0.45,SAME,0.7,3,0.05,0.02,0.6,0.08,3,2,0.5,10,WIDE_V2,0.5,,,,,,PRUNED
249,0.2360364199457966,2026-05-14 03:44:18.013034,2026-05-14 03:45:32.470165,0 days 00:01:14.457131,0,CAP_LAYER,0.45,SAME,0.7,3,0.03,0.02,0.3,0.08,3,1,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
250,-0.311943513174594,2026-05-14 03:45:32.490283,2026-05-14 03:45:33.037310,0 days 00:00:00.547027,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.03503602807514746,0.0022846139529225295,0.5538149701988931,0.03732064202806999,,COMPLETE
251,-0.311943513174594,2026-05-14 03:45:33.060659,2026-05-14 03:45:33.624004,0 days 00:00:00.563345,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.03503602807514746,0.0022846139529225295,0.5538149701988931,0.03732064202806999,,COMPLETE
252,-0.311943513174594,2026-05-14 03:45:33.647426,2026-05-14 03:45:34.468934,0 days 00:00:00.821508,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.03503602807514746,0.0022846139529225295,0.5538149701988931,0.03732064202806999,,COMPLETE
253,-0.311943513174594,2026-05-14 03:45:34.491463,2026-05-14 03:45:35.354210,0 days 00:00:00.862747,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.03503602807514746,0.0022846139529225295,0.5538149701988931,0.03732064202806999,,COMPLETE
254,-0.311943513174594,2026-05-14 03:45:35.378202,2026-05-14 03:45:35.892442,0 days 00:00:00.514240,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.03503602807514746,0.0022846139529225295,0.5538149701988931,0.03732064202806999,,COMPLETE
255,-0.311943513174594,2026-05-14 03:45:35.916859,2026-05-14 03:45:36.429664,0 days 00:00:00.512805,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.03503602807514746,0.0022846139529225295,0.5538149701988931,0.03732064202806999,,COMPLETE
256,-0.311943513174594,2026-05-14 03:45:36.453017,2026-05-14 03:47:53.061192,0 days 00:02:16.608175,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.3,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.03503602807514746,0.0022846139529225295,0.5538149701988931,0.03732064202806999,,COMPLETE
257,0.21819714712385221,2026-05-14 03:47:53.086010,2026-05-14 03:49:10.750496,0 days 00:01:17.664486,0,CAP_LAYER,0.45,SAME,0.7,3,0.05,0.02,0.6,0.16,3,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
258,-0.3574296867331643,2026-05-14 03:49:10.775285,2026-05-14 03:49:19.332683,0 days 00:00:08.557398,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.08,3,2,0.5,5,ANCHOR_SATELLITE,0.5,,,,,,PRUNED
259,0.2341731248582664,2026-05-14 03:49:19.358150,2026-05-14 03:50:36.471160,0 days 00:01:17.113010,0,CAP_LAYER,0.45,SAME,0.9,2,0.05,0.02,0.6,0.08,3,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
260,-0.311943513174594,2026-05-14 03:50:36.497161,2026-05-14 03:52:46.401974,0 days 00:02:09.904813,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.08,3,1,0.5,5,WIDE_V2,0.5,-0.03503602807514746,0.0022846139529225295,0.5538149701988931,0.03732064202806999,,COMPLETE
261,-0.507046717391758,2026-05-14 03:52:46.424859,2026-05-14 03:55:19.894681,0 days 00:02:33.469822,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.08,6,2,0.5,5,WIDE_V2,0.5,-0.11553796387236534,0.06851263702844093,0.7830175070387853,0.18405060090080627,,COMPLETE
